PracticeCode,Sex,Attribute,Value
11486,Female,Ages 0 to 4,210
11486,Female,Ages 5 to 14,463
11486,Female,Ages 15 to 24,459
11486,Female,Ages 25 to 44,1251
11486,Female,Ages 45 to 64,977
11486,Female,Ages 65 to 74,370
11486,Female,Ages 75 to 84,196
11486,Female,Ages 85 plus,91
11645,Male,Ages 0 to 4,216
11645,Male,Ages 5 to 14,588
11645,Male,Ages 15 to 24,565
11645,Male,Ages 25 to 44,1281
11645,Male,Ages 45 to 64,1043
11645,Male,Ages 65 to 74,382
11645,Male,Ages 75 to 84,190
11645,Male,Ages 85 plus,55
11645,Female,Ages 0 to 4,174
11645,Female,Ages 5 to 14,504
11645,Female,Ages 15 to 24,535
11645,Female,Ages 25 to 44,1239
11645,Female,Ages 45 to 64,1154
11645,Female,Ages 65 to 74,419
11645,Female,Ages 75 to 84,228
11645,Female,Ages 85 plus,91
11650,Male,Ages 0 to 4,136
11650,Male,Ages 5 to 14,312
11650,Male,Ages 15 to 24,319
11650,Male,Ages 25 to 44,940
11650,Male,Ages 45 to 64,800
11650,Male,Ages 65 to 74,339
11650,Male,Ages 75 to 84,170
11650,Male,Ages 85 plus,53
11650,Female,Ages 0 to 4,134
11650,Female,Ages 5 to 14,333
11650,Female,Ages 15 to 24,371
11650,Female,Ages 25 to 44,934
11650,Female,Ages 45 to 64,793
11650,Female,Ages 65 to 74,325
11650,Female,Ages 75 to 84,209
11650,Female,Ages 85 plus,86
11823,Male,Ages 0 to 4,224
11823,Male,Ages 5 to 14,565
11823,Male,Ages 15 to 24,507
11823,Male,Ages 25 to 44,1224
11823,Male,Ages 45 to 64,1082
11823,Male,Ages 65 to 74,410
11823,Male,Ages 75 to 84,222
11823,Male,Ages 85 plus,62
11823,Female,Ages 0 to 4,213
11823,Female,Ages 5 to 14,553
11823,Female,Ages 15 to 24,468
11823,Female,Ages 25 to 44,1225
11823,Female,Ages 45 to 64,1087
11823,Female,Ages 65 to 74,445
11823,Female,Ages 75 to 84,269
11823,Female,Ages 85 plus,106
11861,Male,Ages 0 to 4,184
11861,Male,Ages 5 to 14,401
11861,Male,Ages 15 to 24,482
11861,Male,Ages 25 to 44,1561
11861,Male,Ages 45 to 64,1029
11861,Male,Ages 65 to 74,369
11861,Male,Ages 75 to 84,245
11861,Male,Ages 85 plus,67
11861,Female,Ages 0 to 4,149
11861,Female,Ages 5 to 14,370
11861,Female,Ages 15 to 24,498
11861,Female,Ages 25 to 44,1186
11861,Female,Ages 45 to 64,915
11861,Female,Ages 65 to 74,379
11861,Female,Ages 75 to 84,336
11861,Female,Ages 85 plus,123
11931,Male,Ages 0 to 4,116
11931,Male,Ages 5 to 14,370
11931,Male,Ages 15 to 24,385
11931,Male,Ages 25 to 44,910
11931,Male,Ages 45 to 64,973
11931,Male,Ages 65 to 74,371
11931,Male,Ages 75 to 84,193
11931,Male,Ages 85 plus,49
11931,Female,Ages 0 to 4,111
11931,Female,Ages 5 to 14,314
11931,Female,Ages 15 to 24,360
11931,Female,Ages 25 to 44,853
11931,Female,Ages 45 to 64,981
11931,Female,Ages 65 to 74,382
11931,Female,Ages 75 to 84,251
11931,Female,Ages 85 plus,87
12210,Male,Ages 0 to 4,93
12210,Male,Ages 5 to 14,189
12210,Male,Ages 15 to 24,214
12210,Male,Ages 25 to 44,538
12210,Male,Ages 45 to 64,477
12210,Male,Ages 65 to 74,163
12210,Male,Ages 75 to 84,65
12210,Male,Ages 85 plus,27
12210,Female,Ages 0 to 4,100
12210,Female,Ages 5 to 14,185
12210,Female,Ages 15 to 24,225
12210,Female,Ages 25 to 44,567
12210,Female,Ages 45 to 64,474
12210,Female,Ages 65 to 74,207
12210,Female,Ages 75 to 84,134
12210,Female,Ages 85 plus,47
12281,Male,Ages 0 to 4,145
12281,Male,Ages 5 to 14,283
12281,Male,Ages 15 to 24,804
12281,Male,Ages 25 to 44,1734
12281,Male,Ages 45 to 64,845
12281,Male,Ages 65 to 74,297
12281,Male,Ages 75 to 84,177
12281,Male,Ages 85 plus,39
12281,Female,Ages 0 to 4,105
12281,Female,Ages 5 to 14,273
12281,Female,Ages 15 to 24,1212
12281,Female,Ages 25 to 44,1378
12281,Female,Ages 45 to 64,751
12281,Female,Ages 65 to 74,290
12281,Female,Ages 75 to 84,194
12281,Female,Ages 85 plus,100
12831,Male,Ages 0 to 4,103
12831,Male,Ages 5 to 14,269
12831,Male,Ages 15 to 24,270
12831,Male,Ages 25 to 44,730
12831,Male,Ages 45 to 64,587
12831,Male,Ages 65 to 74,189
12831,Male,Ages 75 to 84,102
12831,Male,Ages 85 plus,34
12831,Female,Ages 0 to 4,100
12831,Female,Ages 5 to 14,274
12831,Female,Ages 15 to 24,267
12831,Female,Ages 25 to 44,680
12831,Female,Ages 45 to 64,509
12831,Female,Ages 65 to 74,165
12831,Female,Ages 75 to 84,120
12831,Female,Ages 85 plus,58
13049,Male,Ages 0 to 4,91
13049,Male,Ages 5 to 14,197
13049,Male,Ages 15 to 24,171
13049,Male,Ages 25 to 44,447
13049,Male,Ages 45 to 64,596
13049,Male,Ages 65 to 74,271
13049,Male,Ages 75 to 84,184
13049,Male,Ages 85 plus,58
13049,Female,Ages 0 to 4,91
13049,Female,Ages 5 to 14,170
13049,Female,Ages 15 to 24,222
13049,Female,Ages 25 to 44,446
13049,Female,Ages 45 to 64,673
13049,Female,Ages 65 to 74,286
13049,Female,Ages 75 to 84,204
13049,Female,Ages 85 plus,76
13091,Male,Ages 0 to 4,59
13091,Male,Ages 5 to 14,123
13091,Male,Ages 15 to 24,136
13091,Male,Ages 25 to 44,266
13091,Male,Ages 45 to 64,373
13091,Male,Ages 65 to 74,211
13091,Male,Ages 75 to 84,143
13091,Male,Ages 85 plus,41
13091,Female,Ages 0 to 4,56
13091,Female,Ages 5 to 14,141
13091,Female,Ages 15 to 24,98
13091,Female,Ages 25 to 44,248
13091,Female,Ages 45 to 64,399
